"contestKey","contestLongName","districtKey","districtName","numbertoElect","termYears","isQuestion","countiesParticipating","countiesReported","precinctsParticipating","precinctsReported","precinctsReportedPercent","jurisdictionKey","jurisdictionName","isWriteIn","choiceKey","choiceName","partyKey","partyDisplayorder","partyShortName","totalVotes","jurisdictionVotes","choicePollingPlaceVotes","choiceEarlyVotes","choiceProvisionalVotes","choiceMaricopaVotes"
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,49,49,100,2,"Cochise","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,71,71,100,3,"Coconino","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,39,39,100,4,"Gila","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,22,22,100,5,"Graham","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,8,7,87.5,6,"Greenlee","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,11,11,100,7,"La Paz","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,743,741,99.73,8,"Maricopa","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,9,"Mohave","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,14,14,100,10,"Navajo","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,249,245,98.39,11,"Pima","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,102,101,99.02,12,"Pinal","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,13,"Santa Cruz","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,45,44,97.78,14,"Yavapai","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,15,"Yuma","true",5881,"DeCarlo, Michael",1,NA,"NONE",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,1489,1478,99.26,0,"State","false",6411,"Green, Angela",4,NA,"GRN",38597,38597,4718,14139,2,19738
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,1,"Apache","false",6411,"Green, Angela",4,NA,"GRN",775,775,500,275,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,49,49,100,2,"Cochise","false",6411,"Green, Angela",4,NA,"GRN",1031,1031,199,832,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,71,71,100,3,"Coconino","false",6411,"Green, Angela",4,NA,"GRN",1363,1363,509,854,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,39,39,100,4,"Gila","false",6411,"Green, Angela",4,NA,"GRN",539,539,100,439,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,22,22,100,5,"Graham","false",6411,"Green, Angela",4,NA,"GRN",335,335,82,253,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,8,7,87.5,6,"Greenlee","false",6411,"Green, Angela",4,NA,"GRN",108,108,20,86,2,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,11,11,100,7,"La Paz","false",6411,"Green, Angela",4,NA,"GRN",166,166,55,111,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,743,741,99.73,8,"Maricopa","false",6411,"Green, Angela",4,NA,"GRN",19738,19738,0,0,0,19738
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,9,"Mohave","false",6411,"Green, Angela",4,NA,"GRN",1692,1692,500,1192,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,14,14,100,10,"Navajo","false",6411,"Green, Angela",4,NA,"GRN",1119,1119,460,659,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,249,245,98.39,11,"Pima","false",6411,"Green, Angela",4,NA,"GRN",6092,6092,1073,5019,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,102,101,99.02,12,"Pinal","false",6411,"Green, Angela",4,NA,"GRN",1714,1714,552,1162,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,13,"Santa Cruz","false",6411,"Green, Angela",4,NA,"GRN",332,332,71,261,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,45,44,97.78,14,"Yavapai","false",6411,"Green, Angela",4,NA,"GRN",2486,2486,369,2117,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,15,"Yuma","false",6411,"Green, Angela",4,NA,"GRN",1107,1107,228,879,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,1489,1478,99.26,0,"State","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,1,"Apache","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,49,49,100,2,"Cochise","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,71,71,100,3,"Coconino","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,39,39,100,4,"Gila","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,22,22,100,5,"Graham","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,8,7,87.5,6,"Greenlee","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,11,11,100,7,"La Paz","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,743,741,99.73,8,"Maricopa","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,9,"Mohave","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,14,14,100,10,"Navajo","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,249,245,98.39,11,"Pima","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,102,101,99.02,12,"Pinal","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,24,24,100,13,"Santa Cruz","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,45,44,97.78,14,"Yavapai","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,15,"Yuma","true",7208,"Hess, Barry",5,NA,"LBT",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,1489,1478,99.26,0,"State","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,44,43,97.73,1,"Apache","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,49,49,100,2,"Cochise","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,71,71,100,3,"Coconino","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,39,39,100,4,"Gila","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,22,22,100,5,"Graham","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
1693,"U.S. Senator",1,"Federal Statewide",1,6,"false",15,15,8,7,87.5,6,"Greenlee","true",5819,"Kay, Robert",9,NA,"REP",0,0,0,0,0,0
