"GEOID","Total","Hispanic","pct_Hispanic"
"040030020011",1219,712,0.58408531583265
"040030020012",2741,1877,0.684786574242977
"040030020013",1423,1290,0.906535488404779
"040030020021",1460,1137,0.778767123287671
"040030020022",1489,897,0.602417730020148
"040030020023",1972,1803,0.914300202839757
"040030021001",2278,1722,0.755926251097454
"040030021002",1679,1372,0.817153067301965
"040030021003",913,842,0.92223439211391
"040050001001",1376,1298,0.943313953488372
"040050001002",1133,1017,0.897616946160635
"040050001003",1015,874,0.861083743842365
"040050002001",2467,1962,0.795297932711796
"040050002002",1277,993,0.77760375880971
"040050003001",831,654,0.787003610108303
"040050003002",2723,1291,0.474109438119721
"040050003003",1785,1407,0.788235294117647
"040050003004",1349,794,0.588584136397331
"040050004001",1405,1166,0.829893238434164
"040050004002",772,472,0.61139896373057
"040050004003",1530,1284,0.83921568627451
"040050004004",1145,1047,0.914410480349345
"040050004005",595,351,0.589915966386555
"040050005001",603,443,0.734660033167496
"040050005002",896,826,0.921875
"040050005003",1297,467,0.36006168080185
"040050005004",1006,489,0.486083499005964
"040050005005",401,314,0.783042394014963
"040050006001",1949,1843,0.945613134940995
"040050006002",1764,1552,0.879818594104308
"040050006003",964,932,0.966804979253112
"040050006004",950,887,0.933684210526316
"040050007001",1113,952,0.855345911949686
"040050007002",2498,2153,0.861889511609287
"040050008001",1004,707,0.704183266932271
"040050008002",2835,2528,0.891710758377425
"040050008003",1627,1291,0.793484941610326
"040050009001",689,509,0.738751814223512
"040050009002",4238,3803,0.897357243983011
"040050009003",1935,1464,0.756589147286822
"040050010001",4265,3750,0.879249706916764
"040050010002",3316,2687,0.810313630880579
"040050010003",3381,2713,0.802425317953268
"040050011011",1404,1305,0.92948717948718
"040050011012",1787,1522,0.85170677112479
"040050011013",1383,1247,0.901663051337672
"040050011021",3385,2256,0.666469719350074
"040050011022",1757,1613,0.918042117245304
"040050011023",836,742,0.88755980861244
"040050011024",1367,1107,0.809802487198244
"040050012001",1274,1131,0.887755102040816
"040050012002",1416,1221,0.86228813559322
"040050013011",1496,1302,0.870320855614973
"040050013012",2188,2025,0.925502742230347
"040050013013",1580,1372,0.868354430379747
"040050013021",1803,1576,0.874098724348308
"040050013022",2586,2170,0.839133797370456
"040050013023",1321,1090,0.825132475397426
"040050015001",1150,1053,0.915652173913043
"040050015002",566,541,0.95583038869258
"040050015003",672,579,0.861607142857143
"040050015004",696,674,0.968390804597701
"040050016001",827,817,0.987908101571947
"040050016002",1074,889,0.827746741154562
"040050016003",1219,1147,0.940935192780968
"040050017001",918,755,0.82244008714597
"040050017002",917,610,0.665212649945474
