"contestKey","contestLongName","contestKey__1","contestLongName__1","districtKey","districtName","numbertoElect","termYears","isQuestion","countiesParticipating","countiesReported","precinctsParticipating","precinctsReported","precinctsReportedPercent","jurisdictionKey","jurisdictionName","isWriteIn","choiceKey","choiceName","partyKey","partyDisplayorder","partyShortName","totalVotes","jurisdictionVotes","choicePollingPlaceVotes","choiceEarlyVotes","choiceProvisionalVotes","choiceMaricopaVotes"
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,13,"Santa Cruz",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,45,45,100,14,"Yavapai",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,15,"Yuma",TRUE,5881,"DeCarlo, Michael",1,"NULL","NONE",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",FALSE,6411,"Green, Angela",4,"NULL","GRN",57442,57442,4761,19262,1048,32371
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",FALSE,6411,"Green, Angela",4,"NULL","GRN",961,961,508,439,14,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",FALSE,6411,"Green, Angela",4,"NULL","GRN",1212,1212,200,952,60,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",FALSE,6411,"Green, Angela",4,"NULL","GRN",1757,1757,514,1179,64,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",FALSE,6411,"Green, Angela",4,"NULL","GRN",674,674,100,550,24,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",FALSE,6411,"Green, Angela",4,"NULL","GRN",363,363,82,275,6,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",FALSE,6411,"Green, Angela",4,"NULL","GRN",108,108,20,86,2,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",FALSE,6411,"Green, Angela",4,"NULL","GRN",199,199,55,111,33,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",FALSE,6411,"Green, Angela",4,"NULL","GRN",32371,32371,0,0,0,32371
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",FALSE,6411,"Green, Angela",4,"NULL","GRN",2027,2027,500,1484,43,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",FALSE,6411,"Green, Angela",4,"NULL","GRN",1238,1238,460,762,16,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",FALSE,6411,"Green, Angela",4,"NULL","GRN",8710,8710,1080,7085,545,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",FALSE,6411,"Green, Angela",4,"NULL","GRN",3183,3183,552,2447,184,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,13,"Santa Cruz",FALSE,6411,"Green, Angela",4,"NULL","GRN",418,418,72,318,28,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,45,45,100,14,"Yavapai",FALSE,6411,"Green, Angela",4,"NULL","GRN",2870,2870,390,2466,14,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,15,"Yuma",FALSE,6411,"Green, Angela",4,"NULL","GRN",1351,1351,228,1108,15,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,249,249,100,11,"Pima",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,102,102,100,12,"Pinal",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,13,"Santa Cruz",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,45,45,100,14,"Yavapai",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,15,"Yuma",TRUE,7208,"Hess, Barry",5,"NULL","LBT",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",TRUE,5819,"Kay, Robert",9,"NULL","REP",0,0,0,0,0,0
