"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113","r1107_d","r1108_d","r1109_d","r1110_d","r1111_d","r1112_d","r1113_d"
1693,"U.S. Senator","Federal Statewide","Mohave",6389,"Sinema, Kyrsten","DEM",11618,16580,16866,18030,18970,18970,19027,19177,4962,286,1164,940,0,57,150
1693,"U.S. Senator","Federal Statewide","Navajo",6389,"Sinema, Kyrsten","DEM",7227,12299,15354,15354,16403,16623,16623,16623,5072,3055,0,1049,220,0,0
1693,"U.S. Senator","Federal Statewide","Pima",6389,"Sinema, Kyrsten","DEM",135288,166571,166571,181696,196386,196386,206610,206610,31283,0,15125,14690,0,10224,0
1693,"U.S. Senator","Federal Statewide","Pinal",6389,"Sinema, Kyrsten","DEM",18795,29192,32787,38369,40754,43905,47537,47537,10397,3595,5582,2385,3151,3632,0
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6389,"Sinema, Kyrsten","DEM",5367,7598,7598,9239,9239,9239,9239,9239,2231,0,1641,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Yavapai",6389,"Sinema, Kyrsten","DEM",29832,31188,36509,37853,38617,39757,39757,40033,1356,5321,1344,764,1140,0,276
1693,"U.S. Senator","Federal Statewide","Yuma",6389,"Sinema, Kyrsten","DEM",11536,16052,17526,19512,19512,19512,19512,19512,4516,1474,1986,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6888,"O'Halleran, Tom","DEM",73376,107616,115313,123913,128347,134404,138692,139229,34240,7697,8600,4434,6057,4288,537
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6888,"O'Halleran, Tom","DEM",4172,13602,13833,16747,16747,16892,16892,16892,9430,231,2914,0,145,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6888,"O'Halleran, Tom","DEM",22041,29134,29134,29832,29832,33053,34506,34979,7093,0,698,0,3221,1453,473
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6888,"O'Halleran, Tom","DEM",2318,3447,3815,3846,4020,4020,4020,4020,1129,368,31,174,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6888,"O'Halleran, Tom","DEM",2661,3423,3658,3658,3658,3658,3658,3658,762,235,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6888,"O'Halleran, Tom","DEM",1059,1160,1160,1160,1160,1160,1160,1160,101,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6888,"O'Halleran, Tom","DEM",51,235,250,263,273,284,284,286,184,15,13,10,11,0,2
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6888,"O'Halleran, Tom","DEM",40,149,149,158,170,170,180,180,109,0,9,12,0,10,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6888,"O'Halleran, Tom","DEM",7997,13406,16627,16627,17798,18017,18017,18017,5409,3221,0,1171,219,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6888,"O'Halleran, Tom","DEM",16504,19710,19710,21103,22497,22497,23419,23419,3206,0,1393,1394,0,922,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6888,"O'Halleran, Tom","DEM",10778,17436,19701,22997,24530,26739,28642,28642,6658,2265,3296,1533,2209,1903,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6888,"O'Halleran, Tom","DEM",5755,5914,7276,7522,7662,7914,7914,7976,159,1362,246,140,252,0,62
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6572,"Rogers, Wendy","REP",70142,94422,101279,107176,112010,115685,119137,119418,24280,6857,5897,4834,3675,3452,281
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6572,"Rogers, Wendy","REP",3154,6565,6598,8025,8025,8067,8067,8067,3411,33,1427,0,42,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6572,"Rogers, Wendy","REP",12600,15561,15561,15791,15791,17247,18093,18317,2961,0,230,0,1456,846,224
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6572,"Rogers, Wendy","REP",1755,2387,2680,2688,2812,2812,2812,2812,632,293,8,124,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6572,"Rogers, Wendy","REP",5534,6187,6886,6886,6886,6886,6886,6886,653,699,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6572,"Rogers, Wendy","REP",1202,1379,1379,1379,1379,1379,1379,1379,177,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6572,"Rogers, Wendy","REP",10,38,40,43,44,44,44,44,28,2,3,1,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6572,"Rogers, Wendy","REP",20,61,62,66,70,70,75,75,41,1,4,4,0,5,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6572,"Rogers, Wendy","REP",10215,14043,16409,16409,18200,18328,18328,18328,3828,2366,0,1791,128,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6572,"Rogers, Wendy","REP",18189,23524,23524,24838,26326,26326,27395,27395,5335,0,1314,1488,0,1069,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6572,"Rogers, Wendy","REP",12603,19545,21655,24364,25646,27561,29093,29093,6942,2110,2709,1282,1915,1532,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6572,"Rogers, Wendy","REP",4860,5132,6485,6687,6831,6965,6965,7022,272,1353,202,144,134,0,57
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6900,"Kirkpatrick, Ann","DEM",102257,125349,125349,136851,145810,145810,151803,152514,23092,0,11502,8959,0,5993,711
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6900,"Kirkpatrick, Ann","DEM",12737,15974,15974,17825,17825,17825,17825,18536,3237,0,1851,0,0,0,711
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6900,"Kirkpatrick, Ann","DEM",89520,109375,109375,119026,127985,127985,133978,133978,19855,0,9651,8959,0,5993,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6677,"Marquez Peterson, Lea","REP",82104,109759,109759,117267,123247,123247,127035,127796,27655,0,7508,5980,0,3788,761
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6677,"Marquez Peterson, Lea","REP",16455,23372,23372,25436,25436,25436,25436,26197,6917,0,2064,0,0,0,761
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6677,"Marquez Peterson, Lea","REP",65649,86387,86387,91831,97811,97811,101599,101599,20738,0,5444,5980,0,3788,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6836,"Grijalva, Raúl","DEM",56948,78308,82819,92120,99562,100726,104918,105346,21360,4511,9301,7442,1164,4192,428
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6836,"Grijalva, Raúl","DEM",13963,20945,24230,25783,28671,29835,30550,30978,6982,3285,1553,2888,1164,715,428
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6836,"Grijalva, Raúl","DEM",29940,38563,38563,42940,47489,47489,50953,50953,8623,0,4377,4549,0,3464,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6836,"Grijalva, Raúl","DEM",15,71,73,78,83,83,96,96,56,2,5,5,0,13,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6836,"Grijalva, Raúl","DEM",5281,7465,7465,9106,9106,9106,9106,9106,2184,0,1641,0,0,0,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6836,"Grijalva, Raúl","DEM",7749,11264,12488,14213,14213,14213,14213,14213,3515,1224,1725,0,0,0,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6519,"Pierson, Nicolas ""Nick""","REP",36556,49331,51873,55423,58574,59064,60529,60796,12775,2542,3550,3151,490,1465,267
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6519,"Pierson, Nicolas ""Nick""","REP",13185,17713,19662,20493,22227,22717,22954,23221,4528,1949,831,1734,490,237,267
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6519,"Pierson, Nicolas ""Nick""","REP",14931,19997,19997,21475,22892,22892,24120,24120,5066,0,1478,1417,0,1228,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6519,"Pierson, Nicolas ""Nick""","REP",1,3,3,3,3,3,3,3,2,0,0,0,0,0,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6519,"Pierson, Nicolas ""Nick""","REP",2607,3662,3662,4313,4313,4313,4313,4313,1055,0,651,0,0,0,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6519,"Pierson, Nicolas ""Nick""","REP",5832,7956,8549,9139,9139,9139,9139,9139,2124,593,590,0,0,0,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6220,"Brill, David","DEM",51757,64380,70934,75887,78576,80483,82268,82668,12623,6554,4953,2689,1907,1785,400
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6220,"Brill, David","DEM",2618,2959,3393,3438,3510,3510,3510,3510,341,434,45,72,0,0,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6220,"Brill, David","DEM",3781,4812,5360,5596,5967,6026,6130,6187,1031,548,236,371,59,104,57
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6220,"Brill, David","DEM",10407,14569,14833,15841,16650,16650,16695,16837,4162,264,1008,809,0,45,142
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6220,"Brill, David","DEM",7788,11362,12655,14947,15780,16761,18397,18397,3574,1293,2292,833,981,1636,0
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6220,"Brill, David","DEM",23204,24338,28048,29083,29687,30554,30554,30755,1134,3710,1035,604,867,0,201
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6220,"Brill, David","DEM",3959,5079,5384,5721,5721,5721,5721,5721,1120,305,337,0,0,0,0
