"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1693,"U.S. Senator","Federal Statewide","Yavapai",6389,"Sinema, Kyrsten","DEM",29832,5591,1086,1344,764,1140,0,276,0,127,0,0,0
1693,"U.S. Senator","Federal Statewide","Yuma",6389,"Sinema, Kyrsten","DEM",11536,4516,1474,1986,0,0,0,0,0,0,368,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6888,"O'Halleran, Tom","DEM",73376,38510,3427,8600,4434,6057,4288,537,2399,1027,3,576,6
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6888,"O'Halleran, Tom","DEM",4172,9430,231,2914,0,145,0,0,0,13,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6888,"O'Halleran, Tom","DEM",22041,7093,0,698,0,3221,1453,473,572,313,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6888,"O'Halleran, Tom","DEM",2318,1129,368,31,174,0,0,0,0,2,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6888,"O'Halleran, Tom","DEM",2661,762,235,0,0,0,0,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6888,"O'Halleran, Tom","DEM",1059,101,0,0,0,0,0,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6888,"O'Halleran, Tom","DEM",51,184,15,13,10,11,0,2,3,5,3,6,6
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6888,"O'Halleran, Tom","DEM",40,109,0,9,12,0,10,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6888,"O'Halleran, Tom","DEM",7997,8630,0,0,1171,219,0,0,1,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6888,"O'Halleran, Tom","DEM",16504,3206,0,1393,1394,0,922,0,0,673,0,570,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6888,"O'Halleran, Tom","DEM",10778,6658,2265,3296,1533,2209,1903,0,1823,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6888,"O'Halleran, Tom","DEM",5755,1208,313,246,140,252,0,62,0,21,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6572,"Rogers, Wendy","REP",70142,27816,3321,5897,4834,3675,3452,281,1840,915,0,611,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6572,"Rogers, Wendy","REP",3154,3411,33,1427,0,42,0,0,0,11,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6572,"Rogers, Wendy","REP",12600,2961,0,230,0,1456,846,224,280,183,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6572,"Rogers, Wendy","REP",1755,632,293,8,124,0,0,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6572,"Rogers, Wendy","REP",5534,653,699,0,0,0,0,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6572,"Rogers, Wendy","REP",1202,177,0,0,0,0,0,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6572,"Rogers, Wendy","REP",10,28,2,3,1,0,0,0,0,1,0,1,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6572,"Rogers, Wendy","REP",20,41,1,4,4,0,5,0,0,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6572,"Rogers, Wendy","REP",10215,6194,0,0,1791,128,0,0,3,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6572,"Rogers, Wendy","REP",18189,5335,0,1314,1488,0,1069,0,0,699,0,610,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6572,"Rogers, Wendy","REP",12603,6942,2110,2709,1282,1915,1532,0,1557,0,0,0,0
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6572,"Rogers, Wendy","REP",4860,1442,183,202,144,134,0,57,0,21,0,0,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6900,"Kirkpatrick, Ann","DEM",102257,23092,0,11502,8959,0,5993,711,0,5616,0,2870,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6900,"Kirkpatrick, Ann","DEM",12737,3237,0,1851,0,0,0,711,0,3,0,0,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6900,"Kirkpatrick, Ann","DEM",89520,19855,0,9651,8959,0,5993,0,0,5613,0,2870,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6677,"Marquez Peterson, Lea","REP",82104,27655,0,7508,5980,0,3788,761,0,3262,0,2025,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6677,"Marquez Peterson, Lea","REP",16455,6917,0,2064,0,0,0,761,0,1,0,0,0
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6677,"Marquez Peterson, Lea","REP",65649,20738,0,5444,5980,0,3788,0,0,3261,0,2025,0
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6836,"Grijalva, Raúl","DEM",56948,21360,4511,9301,7442,1164,4192,428,718,4762,1089,2113,622
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6836,"Grijalva, Raúl","DEM",13963,6982,3285,1553,2888,1164,715,428,712,581,817,988,622
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6836,"Grijalva, Raúl","DEM",29940,8623,0,4377,4549,0,3464,0,0,4178,0,1125,0
