"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113"
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6888,"O'Halleran, Tom","DEM",22041,29134,29134,29832,29832,33053,34506,34979
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6888,"O'Halleran, Tom","DEM",2318,3447,3815,3846,4020,4020,4020,4020
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6888,"O'Halleran, Tom","DEM",2661,3423,3658,3658,3658,3658,3658,3658
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6888,"O'Halleran, Tom","DEM",1059,1160,1160,1160,1160,1160,1160,1160
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6888,"O'Halleran, Tom","DEM",51,235,250,263,273,284,284,286
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6888,"O'Halleran, Tom","DEM",40,149,149,158,170,170,180,180
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6888,"O'Halleran, Tom","DEM",7997,13406,16627,16627,17798,18017,18017,18017
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6888,"O'Halleran, Tom","DEM",16504,19710,19710,21103,22497,22497,23419,23419
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6888,"O'Halleran, Tom","DEM",10778,17436,19701,22997,24530,26739,28642,28642
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6888,"O'Halleran, Tom","DEM",5755,5914,7276,7522,7662,7914,7914,7976
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6572,"Rogers, Wendy","REP",70142,94422,101279,107176,112010,115685,119137,119418
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6572,"Rogers, Wendy","REP",3154,6565,6598,8025,8025,8067,8067,8067
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6572,"Rogers, Wendy","REP",12600,15561,15561,15791,15791,17247,18093,18317
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6572,"Rogers, Wendy","REP",1755,2387,2680,2688,2812,2812,2812,2812
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6572,"Rogers, Wendy","REP",5534,6187,6886,6886,6886,6886,6886,6886
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6572,"Rogers, Wendy","REP",1202,1379,1379,1379,1379,1379,1379,1379
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6572,"Rogers, Wendy","REP",10,38,40,43,44,44,44,44
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6572,"Rogers, Wendy","REP",20,61,62,66,70,70,75,75
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6572,"Rogers, Wendy","REP",10215,14043,16409,16409,18200,18328,18328,18328
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6572,"Rogers, Wendy","REP",18189,23524,23524,24838,26326,26326,27395,27395
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6572,"Rogers, Wendy","REP",12603,19545,21655,24364,25646,27561,29093,29093
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6572,"Rogers, Wendy","REP",4860,5132,6485,6687,6831,6965,6965,7022
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6900,"Kirkpatrick, Ann","DEM",102257,125349,125349,136851,145810,145810,151803,152514
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6900,"Kirkpatrick, Ann","DEM",12737,15974,15974,17825,17825,17825,17825,18536
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6900,"Kirkpatrick, Ann","DEM",89520,109375,109375,119026,127985,127985,133978,133978
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6677,"Marquez Peterson, Lea","REP",82104,109759,109759,117267,123247,123247,127035,127796
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6677,"Marquez Peterson, Lea","REP",16455,23372,23372,25436,25436,25436,25436,26197
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Pima",6677,"Marquez Peterson, Lea","REP",65649,86387,86387,91831,97811,97811,101599,101599
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6836,"Grijalva, Raúl","DEM",56948,78308,82819,92120,99562,100726,104918,105346
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6836,"Grijalva, Raúl","DEM",13963,20945,24230,25783,28671,29835,30550,30978
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6836,"Grijalva, Raúl","DEM",29940,38563,38563,42940,47489,47489,50953,50953
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6836,"Grijalva, Raúl","DEM",15,71,73,78,83,83,96,96
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6836,"Grijalva, Raúl","DEM",5281,7465,7465,9106,9106,9106,9106,9106
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6836,"Grijalva, Raúl","DEM",7749,11264,12488,14213,14213,14213,14213,14213
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","State",6519,"Pierson, Nicolas ""Nick""","REP",36556,49331,51873,55423,58574,59064,60529,60796
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Maricopa",6519,"Pierson, Nicolas ""Nick""","REP",13185,17713,19662,20493,22227,22717,22954,23221
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pima",6519,"Pierson, Nicolas ""Nick""","REP",14931,19997,19997,21475,22892,22892,24120,24120
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Pinal",6519,"Pierson, Nicolas ""Nick""","REP",1,3,3,3,3,3,3,3
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Santa Cruz",6519,"Pierson, Nicolas ""Nick""","REP",2607,3662,3662,4313,4313,4313,4313,4313
1686,"U.S. Representative in Congress - District No. 3","Congressional District 3","Yuma",6519,"Pierson, Nicolas ""Nick""","REP",5832,7956,8549,9139,9139,9139,9139,9139
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6220,"Brill, David","DEM",51757,64380,70934,75887,78576,80483,82268,82668
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6220,"Brill, David","DEM",2618,2959,3393,3438,3510,3510,3510,3510
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6220,"Brill, David","DEM",3781,4812,5360,5596,5967,6026,6130,6187
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6220,"Brill, David","DEM",10407,14569,14833,15841,16650,16650,16695,16837
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6220,"Brill, David","DEM",7788,11362,12655,14947,15780,16761,18397,18397
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6220,"Brill, David","DEM",23204,24338,28048,29083,29687,30554,30554,30755
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6220,"Brill, David","DEM",3959,5079,5384,5721,5721,5721,5721,5721
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6435,"Gosar, Paul","REP",113728,149211,162972,172218,178112,181024,184182,185201
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6435,"Gosar, Paul","REP",6820,8237,9452,9568,9793,9793,9793,9793
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6435,"Gosar, Paul","REP",8321,10949,11958,12361,12975,13117,13399,13507
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Mohave",6435,"Gosar, Paul","REP",30097,45637,46398,49277,51714,51714,51860,52347
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Pinal",6435,"Gosar, Paul","REP",14328,21804,23883,27212,28544,30140,32870,32870
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yavapai",6435,"Gosar, Paul","REP",44556,47183,55286,57185,58471,59645,59645,60069
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Yuma",6435,"Gosar, Paul","REP",9606,12255,12849,13469,13469,13469,13469,13469
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","State",6876,"Knauer, Haryaksha Gregor","GRN",1929,2630,2992,3245,3371,3450,3539,3563
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Gila",6876,"Knauer, Haryaksha Gregor","GRN",106,134,157,159,168,168,168,168
1687,"U.S. Representative in Congress - District No. 4","Congressional District 4","Maricopa",6876,"Knauer, Haryaksha Gregor","GRN",115,159,192,195,207,208,209,213
