"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1693,"U.S. Senator","Federal Statewide","Navajo",6389,"Sinema, Kyrsten","DEM",7227,15354,15354,15354,16403,16623,16623,16623,16624,16624,16624,16624,16624
1693,"U.S. Senator","Federal Statewide","Pima",6389,"Sinema, Kyrsten","DEM",135288,166571,166571,181696,196386,196386,206610,206610,206610,216798,216798,221242,221242
1693,"U.S. Senator","Federal Statewide","Pinal",6389,"Sinema, Kyrsten","DEM",18795,29192,32787,38369,40754,43905,47537,47537,50395,50395,50395,50395,50395
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6389,"Sinema, Kyrsten","DEM",5367,7598,7598,9239,9239,9239,9239,9239,9239,9241,9241,9241,9241
1693,"U.S. Senator","Federal Statewide","Yavapai",6389,"Sinema, Kyrsten","DEM",29832,35423,36509,37853,38617,39757,39757,40033,40033,40160,40160,40160,40160
1693,"U.S. Senator","Federal Statewide","Yuma",6389,"Sinema, Kyrsten","DEM",11536,16052,17526,19512,19512,19512,19512,19512,19512,19512,19880,19880,19880
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6888,"O'Halleran, Tom","DEM",73376,111886,115313,123913,128347,134404,138692,139229,141628,142655,142658,143234,143240
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6888,"O'Halleran, Tom","DEM",4172,13602,13833,16747,16747,16892,16892,16892,16892,16905,16905,16905,16905
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6888,"O'Halleran, Tom","DEM",22041,29134,29134,29832,29832,33053,34506,34979,35551,35864,35864,35864,35864
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6888,"O'Halleran, Tom","DEM",2318,3447,3815,3846,4020,4020,4020,4020,4020,4022,4022,4022,4022
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6888,"O'Halleran, Tom","DEM",2661,3423,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658,3658
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6888,"O'Halleran, Tom","DEM",1059,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6888,"O'Halleran, Tom","DEM",51,235,250,263,273,284,284,286,289,294,297,303,309
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6888,"O'Halleran, Tom","DEM",40,149,149,158,170,170,180,180,180,180,180,180,180
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6888,"O'Halleran, Tom","DEM",7997,16627,16627,16627,17798,18017,18017,18017,18018,18018,18018,18018,18018
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6888,"O'Halleran, Tom","DEM",16504,19710,19710,21103,22497,22497,23419,23419,23419,24092,24092,24662,24662
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6888,"O'Halleran, Tom","DEM",10778,17436,19701,22997,24530,26739,28642,28642,30465,30465,30465,30465,30465
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6888,"O'Halleran, Tom","DEM",5755,6963,7276,7522,7662,7914,7914,7976,7976,7997,7997,7997,7997
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","State",6572,"Rogers, Wendy","REP",70142,97958,101279,107176,112010,115685,119137,119418,121258,122173,122173,122784,122784
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Apache",6572,"Rogers, Wendy","REP",3154,6565,6598,8025,8025,8067,8067,8067,8067,8078,8078,8078,8078
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Coconino",6572,"Rogers, Wendy","REP",12600,15561,15561,15791,15791,17247,18093,18317,18597,18780,18780,18780,18780
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Gila",6572,"Rogers, Wendy","REP",1755,2387,2680,2688,2812,2812,2812,2812,2812,2812,2812,2812,2812
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Graham",6572,"Rogers, Wendy","REP",5534,6187,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Greenlee",6572,"Rogers, Wendy","REP",1202,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Maricopa",6572,"Rogers, Wendy","REP",10,38,40,43,44,44,44,44,44,45,45,46,46
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Mohave",6572,"Rogers, Wendy","REP",20,61,62,66,70,70,75,75,75,75,75,75,75
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Navajo",6572,"Rogers, Wendy","REP",10215,16409,16409,16409,18200,18328,18328,18328,18331,18331,18331,18331,18331
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pima",6572,"Rogers, Wendy","REP",18189,23524,23524,24838,26326,26326,27395,27395,27395,28094,28094,28704,28704
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Pinal",6572,"Rogers, Wendy","REP",12603,19545,21655,24364,25646,27561,29093,29093,30650,30650,30650,30650,30650
1684,"U.S. Representative in Congress - District No. 1","Congressional District 1","Yavapai",6572,"Rogers, Wendy","REP",4860,6302,6485,6687,6831,6965,6965,7022,7022,7043,7043,7043,7043
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","State",6900,"Kirkpatrick, Ann","DEM",102257,125349,125349,136851,145810,145810,151803,152514,152514,158130,158130,161000,161000
1685,"U.S. Representative in Congress - District No. 2","Congressional District 2","Cochise",6900,"Kirkpatrick, Ann","DEM",12737,15974,15974,17825,17825,17825,17825,18536,18536,18539,18539,18539,18539
